학수번호,분반,교과목명,이수구분,학년,학점,이론,실습,요일 및 강의시간,강의실,정원,교수명,강의언어,학기
9912,1,C프로그래밍및실습,전공필수,1,4,3,2,"월수16:30-18:00,월18:00-20:00",율404,40,김도년,한국어,2017/2
9912,2,C프로그래밍및실습,전공필수,1,4,3,2,"월수15:00-16:30,수18:00-20:00",율404,40,Irfan Mehmood,영어,2017/2
9913,2,고급C프로그래밍및실습,전공필수,1,4,3,2,"월수15:00-16:30,수18:00-20:00",율301,40,박태순,한국어,2017/2
9913,3,고급C프로그래밍및실습,전공필수,1,4,3,2,"월수15:00-16:30,월18:00-20:00",율401,40,한동일,한국어,2017/2
9913,4,고급C프로그래밍및실습,전공필수,1,4,3,2,"화목16:30-18:00,목18:00-20:00",율301,40,강병석,한국어,2017/2
9913,5,고급C프로그래밍및실습,전공필수,1,4,3,2,"화목12:00-13:30,화18:00-20:00",율401,40,김도년,한국어,2017/2
9913,6,고급C프로그래밍및실습,전공필수,1,4,3,2,"화목16:30-18:00,목18:00-20:00",율401,40,김도년,한국어,2017/2
9913,7,고급C프로그래밍및실습,전공필수,1,4,3,2,"월수16:30-18:00,월18:00-20:00",율301,40,Irfan Mehmood,영어,2017/2
9914,1,공학설계기초(산학프로젝트입문),전공필수,1,3,3,0,화목10:30-12:00,율401,40,장윤,영어,2017/2
9914,2,공학설계기초(산학프로젝트입문),전공필수,1,3,3,0,화목12:00-13:30,율301,40,강병석,한국어,2017/2
9914,3,공학설계기초(산학프로젝트입문),전공필수,1,3,3,0,월수10:30-12:00,율202,40,권기학,한국어,2017/2
9914,4,공학설계기초(산학프로젝트입문),전공필수,1,3,3,0,월수10:30-12:00,율204,40,임태진,한국어,2017/2
9914,5,공학설계기초(산학프로젝트입문),전공필수,1,3,3,0,화목16:30-18:00,율204,40,Mohammad Jalil Piran,영어,2017/2
3276,1,컴퓨터구조론,전공필수,2,3,3,0,월수13:30-15:00,율305A,40,송상훈,한국어,2017/2
3276,2,컴퓨터구조론,전공필수,2,3,3,0,월15:00-18:00,율305A,40,문승빈,영어,2017/2
3276,3,컴퓨터구조론,전공필수,2,3,3,0,월수10:30-12:00,율404,40,문현준,영어,2017/2
3276,4,컴퓨터구조론,전공필수,2,3,3,0,월수13:30-15:00,율404,40,문현준,영어,2017/2
3276,5,컴퓨터구조론,전공필수,2,3,3,0,화목10:30-12:00,율305A,40,박기호,한국어,2017/2
9954,1,알고리즘및실습,전공필수,2,4,3,2,"월수13:30-15:00,월18:00-20:00",율202/동401,40,국형준,한국어,2017/2
9954,2,알고리즘및실습,전공필수,2,4,3,2,"월수15:00-16:30,수18:00-20:00",율202/동401,40,국형준,한국어,2017/2
9954,3,알고리즘및실습,전공필수,2,4,3,2,"화목13:30-15:00,화18:00-20:00",율202/율404,40,나중채,한국어,2017/2
9954,4,알고리즘및실습,전공필수,2,4,3,2,"화목15:00-16:30,목18:00-20:00",율202/율404,40,나중채,한국어,2017/2
9954,5,알고리즘및실습,전공필수,2,4,3,2,"월수15:00-16:30,수18:00-20:00",충103A/율401,40,곽후근,한국어,2017/2
1082,1,마이크로컴퓨터,전공선택,2,3,2,2,월수10:00-12:00,율305A,40,송상훈,한국어,2017/2
5636,1,멀티미디어,전공선택,2,3,3,0,화목12:00-13:30,율202,40,안용학,한국어,2017/2
5636,2,멀티미디어,전공선택,2,3,3,0,화목10:30-12:00,충103A,40,Shake Md Riazul Islam,영어,2017/2
9955,1,이산수학및프로그래밍,전공선택,2,3,3,0,화목10:30-12:00,율204,40,임채훈,한국어,2017/2
9955,2,이산수학및프로그래밍,전공선택,2,3,3,0,화목12:00-13:30,충103A,40,임채훈,한국어,2017/2
9956,1,문제해결및실습:JAVA,전공선택,2,3,3,0,화목10:30-12:00,율301,40,신동일,한국어,2017/2
9956,2,문제해결및실습:JAVA,전공선택,2,3,3,0,월수13:30-15:00,광715,40,한동일,한국어,2017/2
9956,3,문제해결및실습:JAVA,전공선택,2,3,3,0,화목09:00-10:30,율404,40,안용학,한국어,2017/2
9956,4,문제해결및실습:JAVA,전공선택,2,3,3,0,화목10:30-12:00,율404,40,안용학,한국어,2017/2
9956,5,문제해결및실습:JAVA,전공선택,2,3,3,0,화목12:00-13:30,율404,40,조상욱,한국어,2017/2
9956,6,문제해결및실습:JAVA,전공선택,2,3,3,0,화목15:00-16:30,율404,40,조상욱,한국어,2017/2
3284,1,컴퓨터네트워크,전공필수,3,3,3,0,월수10:30-12:00,율401,40,김영복,영어,2017/2
3284,2,컴퓨터네트워크,전공필수,3,3,3,0,월수13:30-15:00,율401,40,김영복,영어,2017/2
3284,3,컴퓨터네트워크,전공필수,3,3,3,0,월수16:30-18:00,율401,40,김영복,한국어,2017/2
3284,4,컴퓨터네트워크,전공필수,3,3,3,0,화목16:30-18:00,율404,40,양효식,영어,2017/2
3284,5,컴퓨터네트워크,전공필수,3,3,3,0,화목13:30-15:00,율404,40,양효식,한국어,2017/2
1725,1,선형대수,전공선택,3,3,3,0,화목12:00-13:30,율204,40,노용덕,한국어,2017/2
1725,2,선형대수,전공선택,3,3,3,0,월수16:30-18:00,율204,40,이영렬,한국어,2017/2
1725,3,선형대수,전공선택,3,3,3,0,화목15:00-16:30,충103A,40,임채훈,한국어,2017/2
1725,4,선형대수,전공선택,3,3,3,0,화목16:30-18:00,충103A,40,임채훈,한국어,2017/2
1769,1,소프트웨어공학,전공선택,3,3,3,0,화목13:30-15:00,율204,40,최수미,한국어,2017/2
