학수번호,분반,교과목명,이수구분,학년,학점,이론,실습,요일 및 강의시간,강의실,교수명,강의언어
9063,1,English for Professional Purposes 1,중핵필수,1,2,2,0,화12:00-13:30,세204,박선영,영어
9063,2,English for Professional Purposes 1,중핵필수,1,2,2,0,수12:00-13:30,세204,변혜원,영어
9064,1,English for Professional Purposes 2,중핵필수,1,2,2,0,월15:00-16:30,세203,옥성수,영어
9064,2,English for Professional Purposes 2,중핵필수,1,2,2,0,월18:00-19:30,Lab-D,옥성수,영어
9064,3,English for Professional Purposes 2,중핵필수,1,2,2,0,수13:30-15:00,세203,이숙영,영어
9067,1,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월10:30-12:00,광705,오현화,한국어
9067,2,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월10:30-12:00,광709,최수임,한국어
9067,3,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월10:30-12:00,광710,김우영,한국어
9067,4,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,수10:30-12:00,광705,오현화,한국어
9067,5,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,수10:30-12:00,광709,이지영,한국어
9067,6,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월13:30-15:00,광705,오현화,한국어
9067,7,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월13:30-15:00,광709,최수임,한국어
9067,8,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,화13:30-15:00,광705,김우영,한국어
9067,9,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,화13:30-15:00,광709,최수임,한국어
9067,10,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월12:00-13:30,광705,오현화,한국어
9067,11,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월12:00-13:30,광709,이지영,한국어
9067,12,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월12:00-13:30,광710,황성근,한국어
9067,13,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월15:00-16:30,광705,김우영,한국어
9067,14,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월15:00-16:30,광709,이지영,한국어
9067,15,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월15:00-16:30,광710,김용철,한국어
9067,16,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,수15:00-16:30,광705,김우영,한국어
9067,17,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,수15:00-16:30,광709,최수임,한국어
9067,18,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월16:30-18:00,광705,이지영,한국어
9067,19,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월16:30-18:00,광709,황의봉,한국어
9067,20,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,월16:30-18:00,광710,김용철,한국어
9067,21,문제해결을위한글쓰기와발표,중핵필수,1,2,2,0,수16:30-18:00,광705,김우영,한국어
